出力結果の種類,"列名 ([i]=室ID, [j]=境界ID）",単位,概要,瞬時I／平均A
全体,out_temp,℃,外気温度,I
全体,out_abs_humid,kg/kg(DA),外気絶対湿度,I
室,rm[i]_ac_operate,－,運転状態,A
室,rm[i]_occupancy,boolean,在室状況,A
室,rm[i]_hc_hum,W/(m2･K),在室者周りの対流熱伝達率,I
室,rm[i]_hr_hum,W/(m2･K),在室者周りの放射熱伝達率,I
室,rm[i]_t_r,℃,空気温度,I
室,rm[i]_rh_r,%,室相対湿度,I
室,rm[i]_x_r,kg/kg(DA),室絶対湿度,I
室,rm[i]_mrt,℃,室MRT,I
室,rm[i]_ot,℃,室作用温度,I
室,rm[i]_q_sol_t,W,透過日射熱取得,I
室,rm[i]_q_s_except_hum,W,人体発熱を除く内部発熱,A
室,rm[i]_q_l_except_hum,kg/s,人体発湿を除く内部発湿,A
室,rm[i]_q_hum_s,W,人体顕熱発熱,A
室,rm[i]_q_hum_l,W,人体潜熱発熱,A
室,rm[i]_l_s_c,W,対流空調顕熱負荷,A
室,rm[i]_l_s_r,W,放射空調顕熱負荷,A
室,rm[i]_l_l_c,W,対流空調潜熱負荷,A
室,rm[i]_t_fun,℃,家具温度,I
室,rm[i]_q_s_fun,W,家具取得熱量,A
室,rm[i]_q_s_sol_fun,W,家具吸収日射熱量,I
室,rm[i]_x_fun,kg/kg(DA),家具絶対湿度,I
室,rm[i]_q_l_fun,kg/s,家具取得水蒸気量,A
室,rm[i]_v_reak,m3/s,すきま風量,A
室,rm[i]_v_ntrl,m3/s,自然換気量,A
室,rm[i]_pmv_target,－,PMVの目標値,I
室,rm[i]_pmv,－,PMVの実現値,I
室,rm[i]_ppd,－,PPDの実現値,I
室,rm[i]_v_hum,m/s,人体廻りの風速,I
室,rm[i]_clo,clo,着衣量,A
境界,rm[i]_b[j]_t_s,℃,表面温度,I
境界,rm[i]_b[j]_t_e,℃,等価室温,I
境界,rm[i]_b[j]_t_b,℃,境界温度,I
境界,rm[i]_b[j]_hir_s,W/(m2･K),表面放射熱伝達率,I
境界,rm[i]_b[j]_qir_s,W,表面放射熱量,I
境界,rm[i]_b[j]_hic_s,W/(m2･K),表面対流熱伝達率,I
境界,rm[i]_b[j]_qic_s,W,表面対流熱量,I
境界,rm[i]_b[j]_qisol_s,W,表面吸収日射量,I
境界,rm[i]_b[j]_qiall_s,W,表面熱量,I
