ElementNo,FlagPerimeter,FlagSolarRadiation,direction,FlagUnsteady,name,A,Sunshade
1,1,1,1,1,Aroof,67.8,None
2,1,1,7,1,AwallSW,40.63,None
3,1,1,9,1,AwallNW,29.83,None
4,1,1,3,1,AwallNE,63.89,None
5,1,1,5,1,AwallSE,29.71,None
6,1,1,7,2,AdoorSW,0.0,None
7,1,1,9,2,AdoorNW,2.52,None
8,1,1,3,2,AdoorNE,2.16,None
9,1,1,5,2,AdoorSE,0.0,None
10,1,1,7,2,AwndSW,30.25,SunshadeSW
11,1,1,9,2,AwndNW,3.17,SunshadeNW
12,1,1,3,2,AwndNE,4.84,SunshadeNE
13,1,1,5,2,AwndSE,5.83,SunshadeSE
14,1,2,12,1,AIF,60.07,None
15,1,1,7,1,AbaseSW,0.0,None
16,1,1,9,1,AbaseNW,1.21,None
17,1,1,3,1,AbaseNE,1.21,None
18,1,1,5,1,AbaseSE,0.0,None
19,1,2,12,1,AbaseIF,2.43,None
20,1,1,7,1,AbasedSW,0.0,None
21,1,1,9,1,AbasedNW,0.44,None
22,1,1,3,1,AbasedNE,0.33,None
23,1,1,5,1,AbasedSE,0.0,None
24,1,2,12,1,AbasedIF,0.76,None
